Primary identifier,Name,Literature identifier,Study type,Endocrine-mediated endpoints,Endocrine mediated systems
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Decreased thymus gland weights,Immunological endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased ovarian weights,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased weights of adrenal gland,Metabolic endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased weights of adrenal gland,Metabolic endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased weights of adrenal gland,Metabolic endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Increased weights of pituitary gland,Neurological endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Ovarian atrophy,Reproductive endocrine-mediated perturbations
CAS:319-85-7,beta-Hexachlorocyclohexane,PMID:2423406,IVR,Thymus atrophy,Immunological endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Hyperplasia in thyroid gland,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,Increased weights of thyroid gland,Metabolic endocrine-mediated perturbations
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,No significant effects observed,-
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,No significant effects observed,-
CAS:3234-61-5,Thiodiazole copper,PMID:19375902,IVR,No significant effects observed,-
CAS:58-89-9,Lindane,PMID:10467719,IVTH,Abnormal sperm morphology,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:10467719,IVTH,Affects calcium signaling,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17537412,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17537412,IVR,Affects ovulation,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17080404,IVTH,Affects steroid metabolism,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17080404,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17080404,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Affects testosterone metabolism,Metabolic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:14613717,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17537412,IVR,Alterations in preputial separation,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17537412,IVR,Alterations in vaginal opening,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:10467719,IVTH,Alters sperm function,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Atrophy of spleen,Immunological endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:15253041,IVTH,Cancer phenotype,Endocrine-mediated cancer
CAS:58-89-9,Lindane,PMID:16641539,IVR,Changes in adrenal gland morphology,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Changes in liver morphology in offspring,Hepatic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Changes in liver morphology in offspring,Hepatic endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17080404,IVTH,Decrease in cortisol levels,Neurological endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Decreased spleen weights,Immunological endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Decreased thymus gland weights,Immunological endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Decreased weights of pituitary gland in offspring,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Increase in T4 levels,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
