Table S1: List of                                                                                       
Serial Number     Research Article                                                        Stage 2       Stage 4       
1                 PMID:111448                                                             1             1             
2                 PMID:209990                                                             1             1             
3                 PMID:347565                                                             1             1             
4                 PMID:467058                                                             1             1             
5                 PMID:496515                                                             1             1             
6                 PMID:516075                                                             1             1             
7                 PMID:556420                                                             1             1             
8                 PMID:599594                                                             1             1             
9                 PMID:608823                                                             1             1             
10                PMID:611632                                                             1             1             
11                PMID:626971                                                             1             1             
12                PMID:689578                                                             1             1             
13                PMID:708932                                                             1             1             
14                PMID:716159                                                             1             1             
15                PMID:793090                                                             1             1             
16                PMID:824186                                                             1             1             
17                PMID:846001                                                             1             1             
18                PMID:918990                                                             1             1             
19                PMID:974891                                                             1             1             
20                PMID:1080335                                                            1             1             
21                PMID:1080337                                                            1             1             
22                PMID:1151749                                                            1             1             
23                PMID:1154415                                                            1             1             
24                PMID:1168291                                                            1             1             
25                PMID:1288759                                                            1             1             
26                PMID:1316972                                                            1             1             
27                PMID:1332906                                                            1             1             
28                PMID:1340183                                                            1             1             
29                PMID:1455432                                                            1             1             
30                PMID:1459372                                                            1             1             
31                PMID:1506076                                                            1             1             
32                PMID:1537323                                                            1             1             
33                PMID:1591480                                                            1             1             
34                PMID:1601208                                                            1             1             
35                PMID:1601226                                                            1             1             
36                PMID:1658985                                                            1             1             
37                PMID:1675421                                                            1             1             
38                PMID:1690464                                                            1             1             
39                PMID:1702562                                                            1             1             
40                PMID:1726817                                                            1             1             
41                PMID:1794655                                                            1             1             
42                PMID:1836392                                                            1             1             
43                PMID:1903567                                                            1             1             
44                PMID:1909817                                                            1             1             
45                PMID:1935846                                                            1             1             
46                PMID:1949037                                                            1             1             
47                PMID:1977580                                                            1             1             
48                PMID:2005220                                                            1             1             
49                PMID:2010141                                                            1             1             
50                PMID:2017761                                                            1             1             
51                PMID:2043046                                                            1             1             
52                PMID:2055367                                                            1             1             
53                PMID:2092650                                                            1             1             
54                PMID:2106055                                                            1             1             
55                PMID:2113720                                                            1             1             
56                PMID:2258022                                                            1             1             
57                PMID:2258023                                                            1             1             
58                PMID:2318358                                                            1             1             
59                PMID:2344992                                                            1             1             
60                PMID:2363183                                                            1             1             
61                PMID:2389677                                                            1             1             
62                PMID:2401271                                                            1             1             
63                PMID:2423406                                                            1             1             
64                PMID:2447477                                                            1             1             
65                PMID:2466803                                                            1             1             
66                PMID:2501910                                                            1             1             
67                PMID:2606405                                                            1             1             
68                PMID:2606408                                                            1             1             
69                PMID:2675279                                                            1             1             
70                PMID:2714525                                                            1             1             
71                PMID:2764718                                                            1             1             
72                PMID:2767356                                                            1             1             
73                PMID:2807101                                                            1             1             
74                PMID:2815085                                                            1             1             
75                PMID:2824305                                                            1             1             
76                PMID:2885040                                                            1             1             
77                PMID:2899427                                                            1             1             
78                PMID:2916230                                                            1             1             
79                PMID:2996382                                                            1             1             
80                PMID:3135640                                                            1             1             
81                PMID:3184199                                                            1             1             
82                PMID:3199457                                                            1             1             
83                PMID:3229585                                                            1             1             
84                PMID:3352650                                                            1             1             
85                PMID:3371590                                                            1             1             
86                PMID:3388448                                                            1             1             
87                PMID:3458959                                                            1             1             
88                PMID:3508472                                                            1             1             
89                PMID:3564018                                                            1             1             
90                PMID:3591659                                                            1             1             
91                PMID:3593420                                                            1             1             
92                PMID:3607108                                                            1             1             
93                PMID:3662806                                                            1             1             
94                PMID:3676057                                                            1             1             
95                PMID:3688539                                                            1             1             
96                PMID:3712494                                                            1             1             
97                PMID:3761383                                                            1             1             
98                PMID:3803340                                                            1             1             
99                PMID:3827596                                                            1             1             
100               PMID:3881621                                                            1             1             
101               PMID:3931714                                                            1             1             
102               PMID:3937900                                                            1             1             
103               PMID:3938269                                                            1             1             
104               PMID:3975930                                                            1             1             
105               PMID:3996333                                                            1             1             
106               PMID:4032495                                                            1             1             
107               PMID:4035593                                                            1             1             
108               PMID:4039799                                                            1             1             
109               PMID:4065311                                                            1             1             
110               PMID:4082073                                                            1             1             
111               PMID:4092642                                                            1             1             
112               PMID:4093994                                                            1             1             
113               PMID:4177895                                                            1             1             
114               PMID:4213067                                                            1             1             
115               PMID:4283679                                                            1             1             
116               PMID:4293143                                                            1             1             
117               PMID:4346985                                                            1             1             
118               PMID:4372993                                                            1             1             
119               PMID:4651163                                                            1             1             
120               PMID:4833816                                                            1             1             
121               PMID:5813270                                                            1             1             
122               PMID:6122172                                                            1             1             
123               PMID:6223748                                                            1             1             
124               PMID:6230523                                                            1             1             
125               PMID:6302948                                                            1             1             
126               PMID:6352433                                                            1             1             
127               PMID:6433129                                                            1             1             
128               PMID:6451681                                                            1             1             
129               PMID:6458924                                                            1             1             
130               PMID:6464017                                                            1             1             
