Endocrine disruptor assessment
Note: Group entries are split in different rows.
Export date: 23-Dec-2022 00:32:11
Last updated 20-Oct-2022. Database contains 107 unique substances/entries.

"Substance Identifier"	""	
"Status"	""	
"Outcome"	""	
"Authority"	""	
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of hazard assessment (from)"	""	
"Date of hazard assessment (to)"	""	
"Latest update (from)"	""	
"Latest update (to)"	""	



"Substance name"	"DISLIST_ED_description"	"EC / List no"	"CAS no"	"Authority"	"Status"	"Outcome"	"Latest update"	"First published"	
"Terephthalic acid"	""	"202-830-0"	"100-21-0"	"France"	"Concluded"	"not ED"	"11-Dec-2015"	"03-Oct-2018"	
"Tributyl O-acetylcitrate"	""	"201-067-0"	"77-90-7"	"France"	"Concluded"	"not ED"	"19-Dec-2016"	"12-Oct-2018"	
"p-cresol"	""	"203-398-6"	"106-44-5"	"United Kingdom"	"Concluded"	"not ED"	"07-Mar-2017"	"12-Oct-2018"	
"4,4'-(1,3-phenylene-bis(1-methylethylidene))bis-phenol"	""	"428-970-4"	"13595-25-0"	"Belgium"	"Postponed"	"postponed"	"12-May-2017"	"12-Oct-2018"	
"Thiram"	""	"205-286-2"	"137-26-8"	"Sweden"	"Concluded"	"not ED"	"24-Oct-2018"	"12-Oct-2018"	
"1-Propene, 2-bromo-3,3,3-trifluoro-"	""	"627-872-0"	"1514-82-5"	"Spain"	"Postponed"	"postponed"	"10-Sep-2020"	"06-Nov-2019"	
"Propargite"	""	"219-006-1"	"2312-35-8"	"Netherlands"	"Postponed"	"postponed"	"03-Nov-2020"	"19-Sep-2019"	
"4,4'-Isopropylidenediphenol, propoxylated"	"1 - 4.5 moles propoxylated"	"500-097-4"	"37353-75-6"	"Denmark"	"Postponed"	"postponed"	"18-Jan-2021"	"19-Sep-2019"	
"(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate"	""	"214-619-0"	"1166-46-7"	"Germany"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"09-Mar-2020"	
"1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethylindeno[5,6-c]pyran"	""	"214-946-9"	"1222-05-5"	"France"	"Under development"	"Under development (other)"	"03-Feb-2021"	"24-Oct-2018"	
"1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione"	""	"258-904-8"	"53988-10-6"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"1,3-dihydro-4(or 5)-methyl-2H-benzimidazole-2-thione, zinc salt"	""	"262-872-0"	"61617-00-3"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2-one"	""	"239-139-9"	"15087-24-8"	"Germany"	"Concluded"	"ED ENV"	"03-Feb-2021"	"12-Oct-2018"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	"EC No. 216-133-4 and EC No. 244-240-6"	"-"	"-"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"06-Nov-2019"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"244-240-6"	"21145-77-7"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"06-Nov-2019"	
"1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one"	""	"216-133-4"	"1506-02-1"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"06-Nov-2019"	
"2,2',6,6'-tetra-tert-butyl-4,4'-methylenediphenol"	""	"204-279-1"	"118-82-1"	"Austria"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"2,2',6,6'-tetrabromo-4,4'-isopropylidenediphenol"	""	"201-236-9"	"79-94-7"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"2,4-di-tert-butylphenol"	""	"202-532-0"	"96-76-4"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"2,6-di-tert-butyl-p-cresol"	""	"204-881-4"	"128-37-0"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"24-Oct-2018"	
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate"	""	"241-527-8"	"17527-29-6"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl methacrylate"	""	"218-407-9"	"2144-53-8"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"3-iodo-2-propynyl butylcarbamate"	""	"259-627-5"	"55406-53-6"	"Denmark"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"27-Aug-2020"	
"3-methylpyrazole"	""	"215-925-7"	"1453-58-3"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"24-Oct-2018"	
"3-phenoxybenzyl-2-(4-ethoxyphenyl)-2-methylpropyl ether"	"ETHOFENPROX; TREBON"	"407-980-2"	"80844-07-1"	"Austria"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"14-May-2019"	
"4,4'-isopropylidenediphenol"	""	"201-245-8"	"80-05-7"	"Germany"	"Concluded"	"ED ENV"	"03-Feb-2021"	"12-Oct-2018"	
"4,4'-isopropylidenediphenol"	""	"201-245-8"	"80-05-7"	"France"	"Concluded"	"ED HH"	"03-Feb-2021"	"12-Oct-2018"	
"4,4'-methylenedi-2,6-xylenol"	""	"226-378-9"	"5384-21-4"	"France"	"Under development"	"Under development (other)"	"03-Feb-2021"	"12-Oct-2018"	
"4,4'-sulphonyldiphenol"	""	"201-250-5"	"80-09-1"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"4-heptylphenol, branched and linear"	"substances with a linear and/or branched alkyl chain with a carbon number of 7 covalently bound predominantly in position 4 to phenol, covering also UVCB- and well-defined substances which include any of the individual isomers or a combination thereof"	"-"	"-"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"Phenol, heptyl derivs."	""	"276-743-1"	"72624-02-3"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-heptylphenol"	""	"217-862-0"	"1987-50-4"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3-ethylpentan-3-yl)phenol"	""	"-"	"37872-24-5"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2-methylhexan-2-yl)phenol"	""	"-"	"30784-31-7"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3,3-dimethylpentan-2-yl)phenol"	""	"-"	"911371-06-7"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3-methylhexan-2-yl)phenol"	""	"-"	"854904-93-1"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(4,4-dimethylpentan-2-yl)phenol"	""	"-"	"911371-07-8"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(4-methylhexan-2-yl)phenol"	""	"-"	"71945-81-8"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(5-methylhexan-2-yl)phenol"	""	"-"	"857629-71-1"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2,2-dimethylpentan-3-yl)phenol"	""	"-"	"861010-65-3"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3-methylhexan-3-yl)phenol"	""	"854-958-7"	"30784-32-8"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(heptan-3-yl)phenol"	""	"-"	"6465-74-3"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(heptan-2-yl)phenol"	""	"-"	"6863-24-7"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(heptan-4-yl)phenol"	""	"-"	"6465-71-0"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3-ethylpentyl)phenol"	""	"-"	"911370-98-4"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(3-methylhexyl)phenol"	""	"-"	"102570-52-5"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(4-methylhexyl)phenol"	""	"-"	"1139800-98-8"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(5-methylhexyl)phenol"	""	"-"	"100532-36-3"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2,4-dimethylpentan-3-yl)phenol"	""	"-"	"1824346-00-0"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"Phenol, 4-tert-heptyl-"	""	"-"	"288864-02-8"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"Phenol, 4-(1-ethyl-1,2-dimethylpropyl)-"	""	"-"	"30784-27-1"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2,3-dimethylpentan-2-yl)phenol"	""	"854-135-2"	"861011-60-1"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2,4-dimethylpentan-2-yl)phenol"	""	"-"	"33104-11-9"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(2,3,3-trimethylbutan-2-yl)phenol"	""	"-"	"72861-06-4"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"4-(5-methylhexan-3-yl)phenol"	""	"-"	"854904-92-0"	"Austria"	"Concluded"	"ED ENV"	"03-Feb-2021"	"04-Oct-2018"	
"6,6'-di-tert-butyl-4,4'-butylidenedi-m-cresol"	""	"201-618-5"	"85-60-9"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"06-Nov-2019"	
"6,6'-di-tert-butyl-4,4'-thiodi-m-cresol"	""	"202-525-2"	"96-69-5"	"Austria"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"alphachloralose"	""	"240-016-7"	"15879-93-3"	"Poland"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"06-Nov-2019"	
"Ammonium perchlorate"	""	"232-235-1"	"7790-98-9"	"Germany"	"Concluded"	"ED ENV"	"03-Feb-2021"	"12-Oct-2018"	
"Benzotriazole"	""	"202-394-1"	"95-14-7"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Bis(2-propylheptyl) phthalate"	""	"258-469-4"	"53306-54-0"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"23-Jul-2020"	
"Climbazole"	""	"253-775-4"	"38083-17-9"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Copper"	""	"231-159-6"	"7440-50-8"	"France"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"20-Oct-2020"	
"Dicyclohexyl phthalate"	""	"201-545-9"	"84-61-7"	"Sweden"	"Concluded"	"ED HH"	"03-Feb-2021"	"04-Oct-2018"	
"Dicyclohexyl phthalate"	""	"201-545-9"	"84-61-7"	"Sweden"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"03-Nov-2020"	
"Diethyl phthalate"	""	"201-550-6"	"84-66-2"	"ECHA"	"Under development"	"Under development (other)"	"03-Feb-2021"	"07-Jan-2021"	
"Diethylmethylbenzenediamine"	""	"270-877-4"	"68479-98-1"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea"	""	"206-354-4"	"330-54-1"	"Finland"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Ethylene oxide"	""	"200-849-9"	"75-21-8"	"Norway"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"25-Oct-2018"	
"Formic acid"	""	"200-579-1"	"64-18-6"	"Belgium"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"14-May-2019"	
"Methyl 4-hydroxybenzoate"	""	"202-785-7"	"99-76-3"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol"	""	"700-960-7"	"68512-30-1"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"25-Oct-2018"	
"Oxybenzone"	""	"205-031-5"	"131-57-7"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Ozone"	""	"233-069-2"	"10028-15-6"	"Germany"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"14-May-2019"	
"p-(1,1-dimethylpropyl)phenol"	""	"201-280-9"	"80-46-6"	"Germany"	"Concluded"	"ED ENV""ED HH"	"03-Feb-2021"	"04-Oct-2018"	
"Peracetic acid"	""	"201-186-8"	"79-21-0"	"Austria"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"24-Sep-2019"	
"Phenol, dodecyl-, branched"	""	"310-154-3"	"121158-58-5"	"Germany"	"Concluded"	"ED ENV""ED HH"	"03-Feb-2021"	"12-Oct-2018"	
