pmid,title,journal,date
34563408,Endocrine-disrupting chemicals and their effects on puberty,Best Pract Res Clin Endocrinol Metab,2021/09/26
32093249,Endocrine-Disrupting Chemicals in Human Fetal Growth,Int J Mol Sci,2020/02/26
33773932,Endocrine-disrupting chemicals and child health,Best Pract Res Clin Endocrinol Metab,2021/03/28
30998239,Transgenerational Effects of Endocrine-Disrupting Chemicals on Male and Female Reproduction,Endocrinology,2019/04/19
29744538,Endocrine-disrupting chemicals and risk of diabetes: an evidence-based review,Diabetologia,2018/05/11
33618984,Endocrine disrupting chemicals and bone,Best Pract Res Clin Endocrinol Metab,2021/02/23
26825073,Polycystic ovary syndrome (PCOS) and endocrine disrupting chemicals (EDCs),Rev Endocr Metab Disord,2016/01/31
33276521,Endocrine-Disrupting Air Pollutants and Their Effects on the Hypothalamus-Pituitary-Gonadal Axis,Int J Mol Sci,2020/12/05
34207527,"Endocrine Disrupting Chemicals, Hormone Receptors, and Acne Vulgaris: A Connecting Hypothesis",Cells,2021/07/02
34690925,Endocrine Disrupting Chemicals and Reproductive Health in Boys and Men,Front Endocrinol (Lausanne),2021/10/25
34200537,Endocrine-Disrupting Chemicals and Early Puberty in Girls,Children (Basel),2021/07/02
33839640,Endocrine disrupting chemical Bisphenol A and its potential effects on female health,Diabetes Metab Syndr,2021/04/11
28292651,Human exposure to endocrine disrupting chemicals: effects on the male and female reproductive systems,Environ Toxicol Pharmacol,2017/03/16
32684823,Endocrine-disrupting chemicals and male reproductive health,Reprod Med Biol,2020/07/21
30875185,Environmental toxins and the impact of other endocrine disrupting chemicals in women's reproductive health,JBRA Assist Reprod,2019/03/16
32249015,Placenta Disrupted: Endocrine Disrupting Chemicals and Pregnancy,Trends Endocrinol Metab,2020/04/07
33449914,Obesity and endocrine-disrupting chemicals,Endocr Connect,2021/01/15
32481506,Endocrine-Disrupting Chemicals and Insulin Resistance in Children,Biomedicines,2020/06/03
33819127,Endocrine disrupting chemicals and breast cancer: a systematic review of epidemiological studies,Crit Rev Food Sci Nutr,2021/04/05
28356401,Exposure to endocrine disruptors during adulthood: consequences for female fertility,J Endocrinol,2017/03/31
35820379,Endocrine-disrupting chemicals,Curr Biol,2022/07/12
36318905,[Endocrine Disrupting Chemicals],Dtsch Med Wochenschr,2022/11/01
30476496,Endocrine-disrupting chemicals: Effects on neuroendocrine systems and the neurobiology of social behavior,Horm Behav,2018/11/27
33388776,Praegnatio Perturbatio-Impact of Endocrine-Disrupting Chemicals,Endocr Rev,2021/01/03
33966978,Exposure to endocrine-disrupting compounds such as phthalates and bisphenol A is associated with an increased risk for obesity,Best Pract Res Clin Endocrinol Metab,2021/05/10
35990020,Endocrine-disrupting activity of mancozeb,Arh Farm (Belgr),2022/08/22
29596967,Parabens and their effects on the endocrine system,Mol Cell Endocrinol,2018/03/30
30984107,Endocrine Disrupting Chemicals: Effects on Endocrine Glands,Front Endocrinol (Lausanne),2019/04/16
29126512,What is an endocrine disruptor?,C R Biol,2017/11/12
33072697,Environmental Endocrine-Disrupting Chemical Exposure: Role in Non-Communicable Diseases,Front Public Health,2020/10/19
34345859,Endocrine disrupting chemicals in the pathogenesis of hypospadias; developmental and toxicological perspectives,Curr Res Toxicol,2021/08/04
34452691,Toxicity testing and endocrine disrupting chemicals,Adv Pharmacol,2021/08/28
33359838,Endocrine disrupting chemicals and metabolic disorders in the liver: What if we also looked at the female side?,Chemosphere,2020/12/28
32108227,"Hypothetical roadmap towards endometriosis: prenatal endocrine-disrupting chemical pollutant exposure, anogenital distance, gut-genital microbiota and subclinical infections",Hum Reprod Update,2020/02/29
34829943,Epigenetic Mechanisms of Endocrine-Disrupting Chemicals in Obesity,Biomedicines,2021/11/27
29126511,"Endocrine-disrupting chemicals, a multifaceted danger",C R Biol,2017/11/12
32268228,Effects of endocrine disrupting chemicals in pigs,Environ Pollut,2020/04/09
32186654,Endocrine-Disrupting Chemicals in Cosmetics-Reply,JAMA Dermatol,2020/03/19
31829784,"Endocrine disrupting chemicals: Impact on human health, wildlife and the environment",Sci Prog,2019/12/13
34452697,"Epigenetics, estrogenic endocrine-disrupting chemicals (EDCs), and the brain",Adv Pharmacol,2021/08/28
33352275,Effects of endocrine disrupting chemicals on myelin development and diseases,Neurotoxicology,2020/12/22
35604630,"Endocrine disrupting chemicals: effects on pituitary, thyroid and adrenal glands",Endocrine,2022/05/23
30881345,Endocrine Disrupting Chemicals: An Occult Mediator of Metabolic Disease,Front Endocrinol (Lausanne),2019/03/19
35163501,Endocrine-Disrupting Chemicals and Their Adverse Effects on the Endoplasmic Reticulum,Int J Mol Sci,2022/02/15
32228218,Thresholds of adversity and their applicability to endocrine disrupting chemicals,Crit Rev Toxicol,2020/04/02
28483365,Endocrine disrupting chemicals and growth of children,Ann Endocrinol (Paris),2017/05/10
33266302,Exposure to Endocrine Disrupting Chemicals and Risk of Breast Cancer,Int J Mol Sci,2020/12/03
27363826,Endocrine-disrupting chemicals and skin manifestations,Rev Endocr Metab Disord,2016/07/02
28980219,Persistent Endocrine-Disrupting Chemicals and Fatty Liver Disease,Curr Environ Health Rep,2017/10/06
34574693,Combined Effects of Different Endocrine-Disrupting Chemicals (EDCs) on Prostate Gland,Int J Environ Res Public Health,2021/09/28
33333918,Adipose Tissue and Endocrine-Disrupting Chemicals: Does Sex Matter?,Int J Environ Res Public Health,2020/12/18
30300430,Endocrine disruptor compounds in environment: As a danger for children health,Pediatr Endocrinol Diabetes Metab,2018/10/10
32973678,GPER as a Receptor for Endocrine-Disrupting Chemicals (EDCs),Front Endocrinol (Lausanne),2020/09/25
34202247,Effects of Endocrine-Disrupting Chemicals on Endometrial Receptivity and Embryo Implantation: A Systematic Review of 34 Mouse Model Studies,Int J Environ Res Public Health,2021/07/02
26184583,"Reproductive endocrine-disrupting effects of triclosan: Population exposure, present evidence and potential mechanisms",Environ Pollut,2015/07/18
34440327,"Environmental Exposure to Endocrine Disrupting Chemicals Influences Genomic Imprinting, Growth, and Metabolism",Genes (Basel),2021/08/27
28758506,"Exposure to modern, widespread environmental endocrine disrupting chemicals and their effect on the reproductive potential of women: an overview of current epidemiological evidence",Hum Fertil (Camb),2017/08/01
35295127,Developmental Exposure to Endocrine Disrupting Chemicals and Its Impact on Cardio-Metabolic-Renal Health,Front Toxicol,2022/03/17
23510680,Endocrine-disrupting chemicals and male reproductive health,Reprod Biomed Online,2013/03/21
30687232,Endocrine Disrupting Chemicals Interfere With Leydig Cell Hormone Pathways During Testicular Descent in Idiopathic Cryptorchidism,Front Endocrinol (Lausanne),2019/01/29
22991565,Endocrine-disrupting chemicals: associated disorders and mechanisms of action,J Environ Public Health,2012/09/20
28526231,Exposures to Endocrine Disrupting Chemicals in Consumer Products-A Guide for Pediatricians,Curr Probl Pediatr Adolesc Health Care,2017/05/21
32146411,"Endocrine disrupting compounds, pharmaceuticals and personal care products in the aquatic environment of China: Which chemicals are the prioritized ones?",Sci Total Environ,2020/03/09
30542324,Role of Endocrine-Disrupting Engineered Nanomaterials in the Pathogenesis of Type 2 Diabetes Mellitus,Front Endocrinol (Lausanne),2018/12/14
26527908,Endocrine disrupting effects of butylated hydroxyanisole (BHA - E320),Clujul Med,2015/11/04
34452687,Endocrine disrupting chemicals (EDCs) and sex steroid receptors,Adv Pharmacol,2021/08/28
28588754,"Endocrine disrupting chemicals in mixture and obesity, diabetes and related metabolic disorders",World J Biol Chem,2017/06/08
28888817,"Mate choice, sexual selection, and endocrine-disrupting chemicals",Horm Behav,2017/09/11
