pmid,score,title,date,journal,pubtype,abstract,chemicals,topics,keywords,meshterms
36004457,9.127855978900548,Common methods in mitochondrial research (Review).,26-08-2022,International journal of molecular medicine,Journal Article,"Mitochondrial abnormalities are primarily seen in morphology, structure and function. They can cause damage to organs, including the heart, brain and muscle, by various mechanisms, such as oxidative stress, abnormal energy metabolism, or genetic mutations. Identifying and detecting pathophysiological alterations in mitochondria is the principal means of studying mitochondrial abnormalities. The present study reviewed methods in mitochondrial research and focused on three aspects: Mitochondrial extraction and purification, morphology and structure and function. In addition to classical methods, such as electron microscopy and mitochondrial membrane potential monitoring, newly developed methods, such as mitochondrial ultrastructural determination, mtDNA mutation assays, metabolomics and analyses of regulatory mechanisms, have also been utilized in recent years. These approaches enable the accurate detection of mitochondrial abnormalities and provide guidance for the diagnosis and treatment of related diseases.","DNA, Mitochondrial",,"mitochondria,mitochondrial DNA,mitochondrial diseases,mitochondrial dysfunction,mitochondrial morphology","DNA, Mitochondrial,Membrane Potential, Mitochondrial,Mitochondria,Mutation,Oxidative Stress"
36447661,8.927659200040225,Mucinous breast carcinoma with neuroendocrine differentiation: Case report.,02-12-2022,Clinical case reports,Case Reports,Mucinous carcinoma of the breast is rare representing 2% of all breast carcinomas. It can be classified as either a pure or a mixed type. Pure mucinous breast carcinoma has a less aggressive behavior compared with mixed breast mucinous carcinoma. The latter shows frequent neuroendocrine differentiation.,,,"breast cancer,immunohistochemistry,mucinous carcinoma,neuroendocrine differentiation",
36034417,8.859521377132054,Dexamethasone-associated metabolic effects in male mice are partially caused by depletion of endogenous corticosterone.,30-08-2022,Frontiers in endocrinology,"Journal Article,Research Support, Non-U.S. Gov't","{'i': 'Via', '#text': 'Synthetic glucocorticoids are clinically used to treat auto-immune and inflammatory disease. Despite the high efficacy, glucocorticoid treatments causes side effects such as obesity and insulin resistance in many patients.  their pharmacological target, the glucocorticoid receptor (GR), glucocorticoids suppress endogenous glucocorticoid secretion. Endogenous, but not synthetic, glucocorticoids activate the mineralocorticoid receptor (MR) and side effects of synthetic glucocorticoids may thus not only result from GR hyperactivation but also from MR hypoactivation. Here, we tested the hypothesis that reactivation of MR with corticosterone add-on treatment can attenuate the metabolic effects of the synthetic glucocorticoid dexamethasone. Male 8-week-old C57Bl/6J mice received a high-fat diet supplemented with dexamethasone or vehicle, and were subcutaneously implanted with low-dose corticosterone- or vehicle-containing pellets. Dexamethasone strongly reduced body weight and fat mass gain, while corticosterone add-on partially normalized this. Dexamethasone-induced hyperglycemia and hyperinsulinemia were exacerbated by corticosterone add-on, which was prevented by MR antagonism. In subcutaneous white adipose tissue, corticosterone add-on prevented the dexamethasone-induced expression of intracellular lipolysis genes. In brown adipose tissue, dexamethasone also upregulated gene expression of brown adipose tissue identity markers, lipid transporters and lipolysis enzymes, which was prevented by corticosterone add-on. In conclusion, corticosterone add-on treatment prevents several, while exacerbating other metabolic effects of dexamethasone. While the exact role of MR remains elusive, this study suggests that corticosterone suppression by dexamethasone contributes to its effects in mice.'}","Glucocorticoids,Receptors, Glucocorticoid,Dexamethasone,Corticosterone",,"Aldosterone,GR-MR crosstalk,corticosterone,dexamethasone,eplerenone,glucocorticoid receptor,hypothalamus-pituitary-adrenal axis,mineralocorticoid receptor","Animals,Corticosterone,Dexamethasone,Glucocorticoids,Male,Mice,Mice, Inbred C57BL,Receptors, Glucocorticoid"
35661963,8.802785529325993,The Role of Mitochondrial Quality Control in Cognitive Dysfunction in Diabetes.,08-08-2022,Neurochemical research,"Journal Article,Review","Type 2 diabetes (T2DM) is a well known risk factor for Alzheimer's disease. Mitochondria are the center of intracellular energy metabolism and the main source of reactive oxygen species. Mitochondrial dysfunction has been identified as a key factor in diabetes-associated brain alterations contributing to neurodegenerative events. Defective insulin signaling may act in concert with neurodegenerative mechanisms leading to abnormalities in mitochondrial structure and function. Mitochondrial dysfunction triggers neuronal energy exhaustion and oxidative stress, leading to brain neuronal damage and cognitive impairment. The normality of mitochondrial function is basically maintained by mitochondrial quality control mechanisms. In T2DM, defects in the mitochondrial quality control pathway in the brain have been found to lead to mitochondrial dysfunction and cognitive impairment. Here, we discuss the association of mitochondrial dysfunction with T2DM and cognitive impairment. We also review the molecular mechanisms of mitochondrial quality control and impacts of mitochondrial quality control on the progression of cognitive impairment in T2DM.",Reactive Oxygen Species,,"Cognitive dysfunction,Diabetes,Mitochondria,Mitochondrial quality control","Alzheimer Disease,Cognitive Dysfunction,Diabetes Mellitus, Type 2,Humans,Mitochondria,Oxidative Stress,Reactive Oxygen Species"
35897782,8.748943674941284,Carbamate Pesticides: Shedding Light on Their Impact on the Male Reproductive System.,29-07-2022,International journal of molecular sciences,"Journal Article,Review","Carbamates are widely used and known around the world as pesticides in spite of also having medical applications. This class of chemicals is classified as acetylcholinesterase inhibitors, blocking acetylcholine hydrolyzation in a reversible manner. Their lack of species selectivity and their reported high toxicity can induce, upon exposure, adverse outcomes in male fertility that may lead to infertility. In addition, they are also considered endocrine-disrupting chemicals and can interfere with the hypothalamic-pituitary-testicular axis, essential for the normal function of the male reproductive system, thus being able to provoke male reproductive dysfunctions. Although the molecular mechanisms are not fully understood, various signaling pathways, such as those mediated by acetylcholine or kisspeptin, are affected by exposure to carbamates, thus compromising steroidogenesis and spermatogenesis. Over the last decades, several studies, both in vitro and in vivo, have reported a myriad of negative effects of carbamates on the male reproductive system. In this review, an up-to-date overview of the impact of carbamates on the male reproductive system is discussed, with an emphasis on the role of these compounds on acetylcholine regulation and the male endocrine system.","Carbamates,Endocrine Disruptors,Pesticides,Acetylcholinesterase,Acetylcholine",,"NR0B2 (Nuclear Receptor Subfamily 0 Group B Member 2),acetylcholine,carbamates,endocrine disruptors,endocrine system,kisspeptin,male fertility","Acetylcholine,Acetylcholinesterase,Carbamates,Endocrine Disruptors,Genitalia, Male,Humans,Male,Pesticides"
35870347,8.741326646051741,Neurotoxicity of nanoparticles: Insight from studies in zebrafish.,23-08-2022,Ecotoxicology and environmental safety,"Journal Article,Review","Nanoparticles are widely used in industry and personal care, and they inevitably end up in people's bodies and the environment. The widespread use of nanoparticles has raised new concerns about their neurotoxicity, as nanoparticles can enter the nervous system by blood-brain barrier. In neurotoxicity testing, the zebrafish provides powerful tools to overcome the limitations of other models. This paper will provide a comprehensive review of the power of zebrafish in neurotoxicity tests and the neurotoxic effects of nanoparticles, including inorganic, organic, and metal-based nanoparticles, on zebrafish from different perspectives. Such information can be used to predict not only the effects of nanoparticles on other species exposed to the aquatic environment but also the neurotoxicity of nanoparticles in humans.",,,"Nanoparticles,Neurotoxicity,Zebrafish","Animals,Blood-Brain Barrier,Humans,Nanoparticles,Nervous System,Zebrafish"
36161318,8.669131973250872,Interaction between apoptosis and autophagy in testicular function.,02-12-2022,Andrologia,"Journal Article,Review","Several processes including oxidative stress, apoptosis, inflammation and autophagy are related to testicular function. Recent studies indicate that a crosstalk between apoptosis and autophagy is essential in regulating testicular function. Autophagy and apoptosis communicate with each other in a complex way, allowing them to work for or against each other in testicular cell survival and death. Several xenobiotics especially endocrine-disrupting chemicals (EDCs) have caused reproductive toxicity because of their potential to modify the rate of autophagy and trigger apoptosis. Therefore, the purpose of the present review was to shed light on how autophagy and apoptosis interact together in the testis.",Endocrine Disruptors,,"apoptosis,autophagy,crosstalk,spermatogenesis,testis","Male,Humans,Spermatogenesis,Autophagy,Apoptosis,Testis,Endocrine Disruptors,Oxidative Stress"
36060653,8.663761835871346,Advances in the Application of Liquid Chromatography in the Detection of Pollutants.,07-09-2022,Computational and mathematical methods in medicine,"Journal Article,Review","Food is easy to be contaminated because of its complex composition. Therefore, in order to protect people from potential food contaminants, it is very necessary to test for various contaminants in food. Liquid chromatography is widely used in the field of food safety detection. In addition, with the development of liquid chromatography technology, more and more new instruments are combined with liquid chromatography. Compared with traditional liquid chromatography, combined liquid chromatography has great advantages in efficiency and operation. Therefore, it is rapidly promoted in the field of food safety testing. In this paper, the results of the determination of three kinds of food pollutants by different liquid chromatography methods are reviewed, and the indexes are compared and analyzed.",Environmental Pollutants,,,"Chromatography, Liquid,Environmental Pollutants,Humans"
35898460,8.617613911844247,Sexual Dimorphism in Transcriptional and Functional Glucocorticoid Effects on Mouse Skeletal Muscle.,29-07-2022,Frontiers in endocrinology,"Comparative Study,Journal Article","Muscle atrophy is common in patients with increased glucocorticoid exposure. Glucocorticoid effects are often sex-specific, and while different glucocorticoid responses between male and female subjects are reported, it is unclear why this is. In this study, we evaluated the effects of corticosterone and synthetic glucocorticoid treatment on muscle atrophy in male and female mice. We found that corticosterone treatment reduced grip strength in female mice only, whereas muscle mass was reduced in both sexes. Skeletal muscle transcriptional responses to corticosterone treatment were more pronounced and widespread in male mice. Synthetic glucocorticoid treatment reduced grip strength in both sexes, while female mice were more sensitive to muscle atrophy than male mice. To evaluate the role of androgens, chemically-castrated male mice were treated with synthetic glucocorticoids. We observed additively reduced muscle mass, but did not observe any interaction effects. Although sex differences in glucocorticoid responses in skeletal muscle are partly influenced by androgen signaling, further studies are warranted to fully delineate the underlying mechanisms.","Androgens,Glucocorticoids,Corticosterone",,"androgen,betamethasone,corticosterone,glucocorticoids,muscle atrophy","Androgens,Animals,Corticosterone,Female,Glucocorticoids,Humans,Male,Mice,Muscle, Skeletal,Muscular Atrophy,Sex Characteristics"
36309417,8.597013041584386,Testosterone and the Androgen Receptor.,01-11-2022,The Urologic clinics of North America,"Journal Article,Review","Testosterone is a steroid hormone that is responsible for the development of normal male sexual characteristics and function as well as the maintenance of homeostasis among multiple organ systems throughout life. Testosterone production is regulated by the hypothalamic-pituitary axis under the direction of gonadotropin-releasing hormone and luteinizing hormone. The testosterone-bound androgen receptor (AR) is a potent regulator of gene expression and may regulate a significant proportion of genes in prostate cells. Therapeutic modulation of testosterone levels and AR signaling activity can be achieved by several different approaches, with distinct consequences and side effects.","Testosterone,Receptors, Androgen,Luteinizing Hormone,Gonadotropin-Releasing Hormone",,"Androgen receptor,Dihydrotestosterone,Function,Structure,Testosterone","Male,Humans,Testosterone,Receptors, Androgen,Luteinizing Hormone,Prostate,Gonadotropin-Releasing Hormone"
